# edges.csv — arêtes (relations) de la membrane sémantique MTTV-FLP (phase 4A).
# Généré par semantic/export.py — sig:0x4D5454562D464C50
# source_refs : 'path|kind|locator|hash' séparés par ';' (champ vide si null).
# Aucune relation n'est ajoutée pour densifier le graphe.
edge_id,source,target,predicate,direction,status,validation_kind,resolution_status,source_refs,provenance_ref
mttvflp:relation/anomalie-chronologie-138,mttvflp:anomaly/138-139-lignes,mttvflp:artifact/chronologie-mttv-flp,anomalie-de,directed,confirmed,,resolved,CHRONOLOGIE_MTTV_FLP.md|primary|ligne 63|7060188c14d2df4af3db29eed27ccef2faf730cff189a0db9f82bb2466dedbc4,
mttvflp:relation/anomalie-dataset-jsonl,mttvflp:anomaly/138-139-lignes,mttvflp:artifact/dataset.jsonl,anomalie-de,directed,confirmed,,resolved,dataset.jsonl|primary|lignes 1-139|92fb7dd053d275075b4814ea67ef7decb5b147c8ee9e4199b89bffa7f6847835,
mttvflp:relation/anthropo-gaien-tensions-anthropo-solipsiste,mttvflp:concept/anthropo-gaien,mttvflp:concept/anthropo-solipsiste,mttvflp:relation/tensions-with,undirected,unresolved,,pending_target_entity,plans/28_dimensions_analysis.md|primary|ligne 27 (dimension F)|3c74574be7ce9bcb203d5d0b6f55a52b8c645f0e02546d82ebd321ae1fc45203,
mttvflp:relation/efficacite-non-top-down-derive-sous-optimalite,mttvflp:concept/efficacite-non-top-down,mttvflp:concept/sous-optimalite-locale,derive-de,directed,hypothesis,,resolved,mttv-flp-mpvr-glocal/mpvr-glocal/README.md|primary|lignes 31-32|8f06eeee0e402f1705d430c801bf76324976cb91c33a0301661c37ac0ab78571,
mttvflp:relation/hydrogene-transduces-sequence-canonique,mttvflp:concept/hydrogene-substrat-minimal,mttvflp:concept/sequence-canonique-h2o-c,mttvflp:relation/transduces-into,directed,confirmed,internal_consistency,resolved,mttv_flp_core_2026/viability_criteria.json|primary|clé canonical_sequence|fded8df14db4d581515efcc93fda6166e2fc52eda943604a5af5f34eebac1219,
mttvflp:relation/mttv-expansion-variant-of,mttvflp:concept/mttv-expansion-theorique-transductif,mttvflp:concept/mttv-expansion-transcalaire,mttvflp:relation/variant-of,undirected,confirmed,,resolved,article_mttv_flp.md|primary|ligne 11|11b7c6d7759b5b7554e0995c177668ecbbada3680c2a773162ef81a022ba4492;CHRONOLOGIE_MTTV_FLP.md|primary|ligne 4|7060188c14d2df4af3db29eed27ccef2faf730cff189a0db9f82bb2466dedbc4,
mttvflp:relation/quorum-poreux-contrasts-quorum-sensing,mttvflp:concept/quorum-poreux,mttvflp:concept/quorum-sensing,mttvflp:relation/contrasts-with,undirected,unresolved,,resolved,docs/dictionnaire_transcalaire.md|reformulation|ligne 24|0911b2dcbecd6c00c56509a58a25f17e1b6df86a36566e7bfd4f85d7be39e97c,
mttvflp:relation/quorum-sensing-biologique-contrasts-quorum-sensing,mttvflp:concept/quorum-sensing-biologique,mttvflp:concept/quorum-sensing,mttvflp:relation/contrasts-with,undirected,unresolved,,resolved,mttv_fundamentals.html|reformulation|ligne 487|224b876c20b73195b341e38b3c67534057446b623bbdbc786648ac21ef669bf3,
mttvflp:relation/scs-valide-par-mpvr,mttvflp:concept/scs,mttvflp:concept/mpvr,valide-par,directed,confirmed,internal_consistency,resolved,mttv_flp_core_2026/5 Benchmark ultime MTTV-FLP — MPVR_SCS_section.md|primary|point 8.2|c9069fbc7ea955889cf3387abf36b96c6d5051996b5d9e81d14eb215f3dc6ddb,
mttvflp:relation/sp3-transduces-logique-tetravalente,mttvflp:concept/etats-tetravalents-sp3,mttvflp:concept/logique-tetravalente,mttvflp:relation/transduces-into,directed,confirmed,internal_consistency,pending_target_entity,mttv_flp_core_2026/viability_criteria.json|primary|clé tetravalence|fded8df14db4d581515efcc93fda6166e2fc52eda943604a5af5f34eebac1219,
mttvflp:relation/transduction-transduces-into,mttvflp:concept/transduction,mttvflp:concept/pipeline-encodeur-gating-decodeur,mttvflp:relation/transduces-into,directed,confirmed,internal_consistency,resolved,docs/dictionnaire_transcalaire.md|reformulation|ligne 17|0911b2dcbecd6c00c56509a58a25f17e1b6df86a36566e7bfd4f85d7be39e97c,
